id_pedido,id_tiempo,id_zona,id_restaurante,id_repartidor,id_cliente,id_estado,tiempo_total_min,dist_asignacion_km,dist_entrega_km,tiempo_espera_rest_min,cumple_sla,minutos_retraso,valor_pedido_soles,hora_dia,dia_semana,es_hora_pico
1,1,1,2,130,2466,1,9.6,1.573,1.807,1.1,1,0.0,32.49,7,Thursday,0
2,2,3,4,109,1394,2,17.2,0.878,0.474,10.5,1,0.0,27.77,23,Monday,0
3,3,5,4,97,323,1,18.6,1.456,2.84,8.9,1,0.0,92.85,9,Friday,0
8162,3,1,6,4,1232,1,16.8,0.824,2.444,9.1,1,0.0,53.88,9,Friday,0
9289,3,1,6,126,499,2,17.0,1.344,1.425,10.7,1,0.0,41.18,9,Friday,0
4,4,3,10,26,1557,1,31.6,2.455,2.612,13.0,0,1.6,33.62,20,Tuesday,1
1525,4,1,3,171,2992,5,36.2,2.827,2.487,18.6,0,6.2,88.11,20,Tuesday,1
6052,4,2,5,200,1386,2,30.8,2.544,2.191,14.0,0,0.8,17.46,20,Tuesday,1
5,5,5,6,70,2622,1,10.3,1.099,1.306,7.1,1,0.0,51.98,2,Tuesday,0
824,5,1,9,49,2287,2,18.4,1.355,2.14,11.2,1,0.0,56.7,2,Tuesday,0
1706,5,3,7,49,2083,1,12.4,1.108,3.251,3.9,1,0.0,71.53,2,Tuesday,0
6,6,2,6,184,1289,1,14.1,1.311,2.664,4.7,1,0.0,90.43,6,Tuesday,0
1616,6,1,4,98,24,1,16.2,0.962,1.888,8.4,1,0.0,62.35,6,Tuesday,0
6834,6,3,3,87,2676,2,14.8,1.495,2.579,6.2,1,0.0,38.89,6,Tuesday,0
7,7,4,8,36,2088,2,18.4,2.517,1.17,6.1,1,0.0,43.96,13,Wednesday,1
4222,7,3,1,83,784,2,20.3,3.639,1.565,0.0,1,0.0,42.84,13,Wednesday,1
8,8,1,1,65,2267,2,8.1,1.49,1.919,2.4,1,0.0,52.44,7,Monday,0
9,9,5,2,129,732,3,12.3,0.557,1.357,13.3,1,0.0,36.07,4,Saturday,0
10,10,5,2,136,3,1,19.5,1.261,0.877,12.4,1,0.0,77.29,10,Friday,0
11,11,2,8,195,2182,2,28.1,3.835,2.498,7.7,1,0.0,80.28,21,Sunday,1
5754,11,1,10,97,2613,1,22.8,2.344,2.478,6.5,1,0.0,17.45,21,Sunday,1
12,12,3,8,103,2752,2,20.4,3.33,0.54,8.9,1,0.0,72.04,20,Monday,1
2389,12,3,2,21,1137,1,28.2,2.895,2.0,11.3,1,0.0,79.42,20,Monday,1
5159,12,5,4,81,975,1,18.0,0.924,1.445,11.5,1,0.0,50.82,20,Monday,1
13,13,1,9,9,1354,1,15.7,0.755,3.206,4.6,1,0.0,20.39,3,Wednesday,0
538,13,4,4,186,2914,1,18.9,0.259,2.265,16.4,1,0.0,85.65,3,Wednesday,0
14,14,1,4,105,780,1,14.4,0.667,1.112,12.6,1,0.0,52.84,16,Thursday,0
15,15,5,7,50,780,3,15.3,0.51,2.845,5.6,1,0.0,23.74,15,Wednesday,0
16,16,1,3,139,61,2,15.5,0.692,2.423,7.9,1,0.0,19.05,5,Sunday,0
1624,16,5,10,108,2292,1,12.5,1.638,1.234,7.5,1,0.0,75.89,5,Sunday,0
17,17,5,4,109,2854,2,19.3,1.004,1.514,12.7,1,0.0,51.4,18,Wednesday,0
1811,17,2,10,198,473,1,18.0,0.897,1.282,10.7,1,0.0,59.66,18,Wednesday,0
4721,17,4,9,159,348,1,16.9,1.267,1.86,11.2,1,0.0,36.5,18,Wednesday,0
5959,17,2,2,60,1127,1,16.1,0.845,2.494,8.3,1,0.0,89.89,18,Wednesday,0
18,18,2,8,129,2176,1,9.7,1.197,2.38,3.4,1,0.0,61.73,1,Saturday,0
1775,18,3,10,104,1520,1,16.5,0.397,1.622,12.2,1,0.0,45.69,1,Saturday,0
8520,18,1,2,159,533,1,5.0,1.439,0.906,0.9,1,0.0,72.47,1,Saturday,0
19,19,5,9,108,2693,2,15.1,1.564,0.982,8.9,1,0.0,64.55,2,Tuesday,0
3198,19,3,8,154,1078,2,11.4,1.38,3.146,4.9,1,0.0,31.19,2,Tuesday,0
7474,19,4,10,188,1202,1,7.3,1.058,1.158,2.0,1,0.0,35.12,2,Tuesday,0
20,20,1,9,193,298,1,21.6,1.788,1.246,9.7,1,0.0,40.29,12,Wednesday,1
21,21,3,10,140,2882,1,22.8,2.091,2.558,10.5,1,0.0,27.62,23,Wednesday,0
896,21,2,8,10,574,1,14.3,1.071,1.217,7.8,1,0.0,37.02,23,Wednesday,0
4053,21,2,10,170,2203,1,9.2,0.91,1.042,7.8,1,0.0,81.87,23,Wednesday,0
