id_cliente,frecuencia_compra,id_suscripcion,id_metodo_pago_frecuente
1,Diaria,1,1
2,Semanal,2,5
3,Mensual,1,3
4,Semanal,3,4
5,Mensual,1,4
6,Quincenal,2,2
7,Semanal,1,3
8,Mensual,1,3
9,Semanal,2,3
10,Diaria,2,3
11,Diaria,1,4
12,Quincenal,1,2
13,Quincenal,1,2
14,Semanal,1,4
15,Semanal,1,4
16,Quincenal,1,1
17,Diaria,2,2
18,Mensual,1,3
19,Semanal,1,2
20,Quincenal,3,4
21,Diaria,1,3
22,Mensual,1,1
23,Diaria,1,1
24,Semanal,1,1
25,Mensual,2,1
26,Quincenal,1,1
27,Mensual,1,4
28,Diaria,1,4
29,Mensual,1,1
30,Quincenal,1,2
31,Semanal,1,4
32,Mensual,1,2
33,Semanal,1,3
34,Semanal,1,1
35,Quincenal,1,3
36,Mensual,2,3
37,Mensual,3,4
38,Quincenal,1,3
39,Mensual,1,2
40,Quincenal,1,4
41,Semanal,1,4
42,Semanal,1,3
43,Semanal,1,2
44,Diaria,2,4
45,Diaria,1,3
46,Quincenal,2,5
47,Diaria,1,1
48,Semanal,1,1
49,Quincenal,1,4
50,Diaria,2,4
51,Diaria,3,2
52,Mensual,2,5
53,Quincenal,1,1
54,Semanal,1,1
55,Diaria,3,1
56,Semanal,1,3
57,Quincenal,1,1
58,Mensual,1,4
59,Mensual,2,1
60,Quincenal,2,3
61,Mensual,1,1
62,Mensual,1,1
63,Mensual,1,3
64,Diaria,2,2
65,Mensual,1,4
66,Semanal,2,5
67,Semanal,1,2
68,Semanal,2,3
69,Quincenal,1,4
70,Semanal,1,5
71,Diaria,1,4
72,Quincenal,3,3
73,Diaria,3,1
74,Diaria,3,1
75,Quincenal,1,1
76,Quincenal,3,3
77,Mensual,1,2
78,Mensual,2,5
79,Diaria,3,1
80,Semanal,1,3
81,Diaria,2,5
82,Diaria,1,3
83,Quincenal,1,2
84,Diaria,1,1
85,Diaria,2,1
86,Quincenal,2,2
87,Quincenal,1,3
88,Diaria,1,3
89,Quincenal,2,4
90,Quincenal,1,3
91,Diaria,1,3
92,Diaria,1,3
93,Mensual,1,4
94,Mensual,2,2
95,Mensual,2,3
96,Diaria,2,1
97,Semanal,1,1
98,Semanal,1,2
99,Mensual,2,3
100,Semanal,1,3
101,Quincenal,1,2
102,Diaria,2,4
103,Quincenal,2,4
104,Quincenal,2,4
105,Quincenal,1,4
106,Semanal,2,4
107,Diaria,1,2
108,Quincenal,2,4
109,Mensual,2,4
110,Quincenal,1,4
111,Mensual,1,5
112,Quincenal,1,1
113,Quincenal,1,4
114,Mensual,1,4
115,Quincenal,1,1
116,Diaria,2,2
117,Quincenal,1,4
118,Quincenal,1,4
119,Mensual,1,4
120,Quincenal,2,1
121,Semanal,1,1
122,Diaria,2,3
123,Semanal,1,4
124,Quincenal,1,3
125,Mensual,2,1
126,Diaria,2,3
127,Mensual,1,1
128,Quincenal,2,4
129,Mensual,2,4
130,Diaria,1,4
131,Mensual,1,3
132,Semanal,2,2
133,Mensual,2,4
134,Semanal,1,2
135,Diaria,2,3
136,Mensual,1,2
137,Mensual,2,1
138,Mensual,1,2
139,Mensual,1,2
140,Mensual,1,1
141,Quincenal,2,2
142,Mensual,2,4
143,Quincenal,2,4
144,Diaria,1,4
145,Semanal,2,3
146,Diaria,2,2
147,Quincenal,1,4
148,Diaria,3,4
149,Quincenal,2,3
150,Mensual,1,1
151,Mensual,2,1
152,Semanal,1,3
153,Semanal,1,4
154,Mensual,1,4
155,Quincenal,1,2
156,Quincenal,2,4
157,Semanal,1,3
158,Mensual,1,2
159,Semanal,2,3
160,Semanal,1,4
161,Semanal,1,5
162,Quincenal,1,4
163,Mensual,1,4
164,Quincenal,1,1
165,Diaria,1,1
166,Mensual,3,3
167,Semanal,1,1
168,Mensual,3,3
169,Diaria,1,1
170,Diaria,1,3
171,Quincenal,3,3
172,Diaria,1,4
173,Mensual,2,4
174,Semanal,3,3
175,Diaria,1,1
176,Semanal,1,3
177,Diaria,3,2
178,Mensual,1,2
179,Quincenal,1,4
180,Quincenal,1,3
181,Semanal,1,4
182,Diaria,1,3
183,Diaria,2,1
184,Diaria,2,5
185,Mensual,2,2
186,Semanal,3,4
187,Quincenal,1,2
188,Diaria,1,4
189,Semanal,1,3
190,Mensual,1,4
191,Diaria,1,3
192,Mensual,2,3
193,Quincenal,1,1
194,Diaria,1,3
195,Quincenal,1,2
196,Diaria,1,2
197,Quincenal,2,3
198,Mensual,1,2
199,Diaria,1,4
200,Diaria,1,4
201,Diaria,1,5
202,Mensual,2,3
203,Diaria,2,1
204,Mensual,1,3
205,Mensual,1,3
206,Quincenal,1,5
207,Diaria,2,1
208,Quincenal,1,2
209,Diaria,1,1
210,Diaria,3,4
211,Quincenal,2,4
212,Diaria,1,3
213,Diaria,1,1
214,Semanal,1,1
215,Semanal,1,4
216,Semanal,2,2
217,Mensual,2,4
218,Diaria,1,3
219,Diaria,3,2
220,Diaria,1,3
221,Quincenal,1,2
222,Diaria,1,2
223,Semanal,2,5
