id_tiempo,fecha,hora_dia,franja,dia_semana,mes,año,es_hora_pico,franja_horaria
1,2024-09-05,7,Mañana,Thursday,9,2024,0,Mañana
2,2024-08-05,23,Madrugada,Monday,8,2024,0,Noche
3,2024-03-01,9,Mañana,Friday,3,2024,0,Mañana
4,2024-04-23,20,Noche,Tuesday,4,2024,1,Noche
5,2024-06-25,2,Madrugada,Tuesday,6,2024,0,Madrugada
6,2024-03-26,6,Mañana,Tuesday,3,2024,0,Mañana
7,2024-09-11,13,Tarde,Wednesday,9,2024,1,Tarde
8,2024-02-05,7,Mañana,Monday,2,2024,0,Mañana
9,2024-09-21,4,Madrugada,Saturday,9,2024,0,Madrugada
10,2024-12-20,10,Mañana,Friday,12,2024,0,Mañana
11,2024-05-05,21,Noche,Sunday,5,2024,1,Noche
12,2024-02-19,20,Noche,Monday,2,2024,1,Noche
13,2024-06-19,3,Madrugada,Wednesday,6,2024,0,Madrugada
14,2024-07-18,16,Tarde,Thursday,7,2024,0,Tarde
15,2024-02-07,15,Tarde,Wednesday,2,2024,0,Tarde
16,2024-06-23,5,Madrugada,Sunday,6,2024,0,Madrugada
17,2024-12-25,18,Noche,Wednesday,12,2024,0,Noche
18,2024-09-14,1,Madrugada,Saturday,9,2024,0,Madrugada
19,2024-01-23,2,Madrugada,Tuesday,1,2024,0,Madrugada
20,2024-08-07,12,Tarde,Wednesday,8,2024,1,Tarde
21,2024-06-26,23,Madrugada,Wednesday,6,2024,0,Noche
22,2024-08-25,13,Tarde,Sunday,8,2024,1,Tarde
23,2024-10-05,16,Tarde,Saturday,10,2024,0,Tarde
24,2024-03-03,18,Noche,Sunday,3,2024,0,Noche
25,2024-06-15,21,Noche,Saturday,6,2024,1,Noche
26,2024-12-25,12,Tarde,Wednesday,12,2024,1,Tarde
27,2024-03-02,19,Noche,Saturday,3,2024,1,Noche
28,2024-05-16,8,Mañana,Thursday,5,2024,0,Mañana
29,2024-08-19,16,Tarde,Monday,8,2024,0,Tarde
30,2024-05-21,10,Mañana,Tuesday,5,2024,0,Mañana
31,2024-09-27,18,Noche,Friday,9,2024,0,Noche
32,2024-08-23,14,Tarde,Friday,8,2024,1,Tarde
33,2024-03-28,5,Madrugada,Thursday,3,2024,0,Madrugada
34,2024-09-11,18,Noche,Wednesday,9,2024,0,Noche
35,2024-06-26,6,Mañana,Wednesday,6,2024,0,Mañana
36,2024-10-15,19,Noche,Tuesday,10,2024,1,Noche
37,2024-05-04,3,Madrugada,Saturday,5,2024,0,Madrugada
38,2024-11-28,17,Tarde,Thursday,11,2024,0,Tarde
39,2024-07-08,14,Tarde,Monday,7,2024,1,Tarde
40,2024-02-02,14,Tarde,Friday,2,2024,1,Tarde
41,2024-07-01,15,Tarde,Monday,7,2024,0,Tarde
42,2024-02-19,0,Madrugada,Monday,2,2024,0,Madrugada
43,2024-02-11,23,Madrugada,Sunday,2,2024,0,Noche
44,2024-11-08,20,Noche,Friday,11,2024,1,Noche
45,2024-05-20,15,Tarde,Monday,5,2024,0,Tarde
46,2024-11-18,14,Tarde,Monday,11,2024,1,Tarde
47,2024-05-12,4,Madrugada,Sunday,5,2024,0,Madrugada
48,2024-06-23,1,Madrugada,Sunday,6,2024,0,Madrugada
49,2024-05-16,15,Tarde,Thursday,5,2024,0,Tarde
50,2024-08-19,18,Noche,Monday,8,2024,0,Noche
51,2024-09-27,20,Noche,Friday,9,2024,1,Noche
52,2024-01-29,18,Noche,Monday,1,2024,0,Noche
53,2024-03-28,15,Tarde,Thursday,3,2024,0,Tarde
54,2024-09-13,11,Mañana,Friday,9,2024,0,Mañana
55,2024-01-28,15,Tarde,Sunday,1,2024,0,Tarde
56,2024-11-03,19,Noche,Sunday,11,2024,1,Noche
57,2024-08-20,6,Mañana,Tuesday,8,2024,0,Mañana
58,2024-10-23,8,Mañana,Wednesday,10,2024,0,Mañana
59,2024-05-04,16,Tarde,Saturday,5,2024,0,Tarde
60,2024-11-16,8,Mañana,Saturday,11,2024,0,Mañana
61,2024-02-20,21,Noche,Tuesday,2,2024,1,Noche
62,2024-09-08,13,Tarde,Sunday,9,2024,1,Tarde
63,2024-12-01,13,Tarde,Sunday,12,2024,1,Tarde
64,2024-07-07,2,Madrugada,Sunday,7,2024,0,Madrugada
65,2024-05-03,13,Tarde,Friday,5,2024,1,Tarde
66,2024-12-19,13,Tarde,Thursday,12,2024,1,Tarde
67,2024-11-27,0,Madrugada,Wednesday,11,2024,0,Madrugada
68,2024-02-08,5,Madrugada,Thursday,2,2024,0,Madrugada
69,2024-09-21,18,Noche,Saturday,9,2024,0,Noche
70,2024-09-20,3,Madrugada,Friday,9,2024,0,Madrugada
71,2024-02-11,10,Mañana,Sunday,2,2024,0,Mañana
72,2024-11-19,10,Mañana,Tuesday,11,2024,0,Mañana
73,2024-12-16,20,Noche,Monday,12,2024,1,Noche
74,2024-12-20,18,Noche,Friday,12,2024,0,Noche
75,2024-11-30,1,Madrugada,Saturday,11,2024,0,Madrugada
76,2024-09-19,1,Madrugada,Thursday,9,2024,0,Madrugada
77,2024-02-15,7,Mañana,Thursday,2,2024,0,Mañana
