tiempo_total_min,minutos_retraso,dist_asignacion_km,dist_entrega_km,tiempo_espera_rest_min,cumple_sla,franja_horaria,es_hora_pico,valor_pedido_soles
9.6,0.0,1.573,1.807,1.1,1,mañana,0,32.49
17.2,0.0,0.878,0.474,10.5,1,noche,0,27.77
18.6,0.0,1.456,2.84,8.9,1,mañana,0,92.85
16.8,0.0,0.824,2.444,9.1,1,mañana,0,53.88
17.0,0.0,1.344,1.425,10.7,1,mañana,0,41.18
31.6,1.6,2.455,2.612,13.0,0,noche,1,33.62
36.2,6.2,2.827,2.487,18.6,0,noche,1,88.11
30.8,0.8,2.544,2.191,14.0,0,noche,1,17.46
10.3,0.0,1.099,1.306,7.1,1,noche,0,51.98
18.4,0.0,1.355,2.14,11.2,1,noche,0,56.7
12.4,0.0,1.108,3.251,3.9,1,noche,0,71.53
14.1,0.0,1.311,2.664,4.7,1,mañana,0,90.43
16.2,0.0,0.962,1.888,8.4,1,mañana,0,62.35
14.8,0.0,1.495,2.579,6.2,1,mañana,0,38.89
18.4,0.0,2.517,1.17,6.1,1,tarde,1,43.96
20.3,0.0,3.639,1.565,0.0,1,tarde,1,42.84
8.1,0.0,1.49,1.919,2.4,1,mañana,0,52.44
12.3,0.0,0.557,1.357,13.3,1,noche,0,36.07
19.5,0.0,1.261,0.877,12.4,1,mañana,0,77.29
28.1,0.0,3.835,2.498,7.7,1,noche,1,80.28
22.8,0.0,2.344,2.478,6.5,1,noche,1,17.45
20.4,0.0,3.33,0.54,8.9,1,noche,1,72.04
28.2,0.0,2.895,2.0,11.3,1,noche,1,79.42
18.0,0.0,0.924,1.445,11.5,1,noche,1,50.82
15.7,0.0,0.755,3.206,4.6,1,noche,0,20.39
18.9,0.0,0.259,2.265,16.4,1,noche,0,85.65
14.4,0.0,0.667,1.112,12.6,1,tarde,0,52.84
15.3,0.0,0.51,2.845,5.6,1,tarde,0,23.74
15.5,0.0,0.692,2.423,7.9,1,mañana,0,19.05
12.5,0.0,1.638,1.234,7.5,1,mañana,0,75.89
19.3,0.0,1.004,1.514,12.7,1,noche,0,51.4
18.0,0.0,0.897,1.282,10.7,1,noche,0,59.66
16.9,0.0,1.267,1.86,11.2,1,noche,0,36.5
16.1,0.0,0.845,2.494,8.3,1,noche,0,89.89
9.7,0.0,1.197,2.38,3.4,1,noche,0,61.73
16.5,0.0,0.397,1.622,12.2,1,noche,0,45.69
5.0,0.0,1.439,0.906,0.9,1,noche,0,72.47
15.1,0.0,1.564,0.982,8.9,1,noche,0,64.55
11.4,0.0,1.38,3.146,4.9,1,noche,0,31.19
7.3,0.0,1.058,1.158,2.0,1,noche,0,35.12
21.6,0.0,1.788,1.246,9.7,1,tarde,1,40.29
22.8,0.0,2.091,2.558,10.5,1,noche,0,27.62
14.3,0.0,1.071,1.217,7.8,1,noche,0,37.02
9.2,0.0,0.91,1.042,7.8,1,noche,0,81.87
21.1,0.0,3.497,1.285,1.0,1,tarde,1,27.44
33.0,3.0,1.729,2.326,19.0,0,tarde,1,73.79
17.0,0.0,0.974,1.183,10.9,1,tarde,0,15.28
